Running main.py in train mode with lang: ta
Unique tokens in TEXT vocabulary: 1411
Unique tokens in UD_TAG vocabulary: 16

Number of training examples: 400
Number of validation examples: 80
Number of tokens in the training set: 9534
Number of testing examples: 120
Tag		Count		Percentage

INSIDE_WORD		3205		33.6%
NOUN		1860		19.5%
PROPN		936		 9.8%
VERB		747		 7.8%
PUNCT		665		 7.0%
ADJ		466		 4.9%
AUX		423		 4.4%
PART		383		 4.0%
ADV		251		 2.6%
ADP		184		 1.9%
NUM		156		 1.6%
PRON		147		 1.5%
DET		80		 0.8%
CCONJ		31		 0.3%
The model has 2,053,524 trainable parameters
Epoch: 01 | Epoch Time: 0m 0s
	Train Loss: 2.712 | Train Acc: 17.65%
	 Val. Loss: 2.485 |  Val. Acc: 29.06%
Epoch: 02 | Epoch Time: 0m 0s
	Train Loss: 2.350 | Train Acc: 29.39%
	 Val. Loss: 2.224 |  Val. Acc: 29.06%
Epoch: 03 | Epoch Time: 0m 0s
	Train Loss: 2.233 | Train Acc: 28.99%
	 Val. Loss: 2.177 |  Val. Acc: 29.14%
Epoch: 04 | Epoch Time: 0m 0s
	Train Loss: 2.174 | Train Acc: 28.20%
	 Val. Loss: 2.135 |  Val. Acc: 29.06%
Epoch: 05 | Epoch Time: 0m 0s
	Train Loss: 2.129 | Train Acc: 29.44%
	 Val. Loss: 2.067 |  Val. Acc: 34.60%
Epoch: 06 | Epoch Time: 0m 0s
	Train Loss: 2.064 | Train Acc: 34.32%
	 Val. Loss: 2.047 |  Val. Acc: 34.76%
Epoch: 07 | Epoch Time: 0m 0s
	Train Loss: 2.086 | Train Acc: 34.41%
	 Val. Loss: 2.004 |  Val. Acc: 36.26%
Epoch: 08 | Epoch Time: 0m 0s
	Train Loss: 2.021 | Train Acc: 35.90%
	 Val. Loss: 1.996 |  Val. Acc: 36.34%
Epoch: 09 | Epoch Time: 0m 0s
	Train Loss: 1.968 | Train Acc: 36.44%
	 Val. Loss: 1.964 |  Val. Acc: 36.42%
Epoch: 10 | Epoch Time: 0m 0s
	Train Loss: 1.946 | Train Acc: 37.02%
	 Val. Loss: 1.945 |  Val. Acc: 38.72%
Epoch: 11 | Epoch Time: 0m 0s
	Train Loss: 1.942 | Train Acc: 38.36%
	 Val. Loss: 1.924 |  Val. Acc: 38.48%
Epoch: 12 | Epoch Time: 0m 0s
	Train Loss: 1.875 | Train Acc: 38.98%
	 Val. Loss: 1.907 |  Val. Acc: 39.27%
Epoch: 13 | Epoch Time: 0m 0s
	Train Loss: 1.913 | Train Acc: 39.33%
	 Val. Loss: 1.889 |  Val. Acc: 40.14%
Epoch: 14 | Epoch Time: 0m 0s
	Train Loss: 1.865 | Train Acc: 40.59%
	 Val. Loss: 1.878 |  Val. Acc: 40.06%
Epoch: 15 | Epoch Time: 0m 0s
	Train Loss: 1.828 | Train Acc: 41.02%
	 Val. Loss: 1.858 |  Val. Acc: 40.30%
Epoch: 16 | Epoch Time: 0m 0s
	Train Loss: 1.879 | Train Acc: 39.09%
	 Val. Loss: 1.831 |  Val. Acc: 40.46%
Epoch: 17 | Epoch Time: 0m 0s
	Train Loss: 1.807 | Train Acc: 41.95%
	 Val. Loss: 1.810 |  Val. Acc: 41.41%
Epoch: 18 | Epoch Time: 0m 0s
	Train Loss: 1.778 | Train Acc: 43.39%
	 Val. Loss: 1.767 |  Val. Acc: 43.15%
Epoch: 19 | Epoch Time: 0m 0s
	Train Loss: 1.698 | Train Acc: 45.16%
	 Val. Loss: 1.700 |  Val. Acc: 44.97%
Epoch: 20 | Epoch Time: 0m 0s
	Train Loss: 1.645 | Train Acc: 47.45%
	 Val. Loss: 1.650 |  Val. Acc: 46.79%
Epoch: 21 | Epoch Time: 0m 0s
